suite,task,arch,run_id,seed,lr,wd,dropout,optimizer,epochs,batch_size,n_train,n_test,metric_n,device,val_loss_ep6,val_acc_ep6,val_loss_ep12,val_acc_ep12,train_loss,train_acc,val_loss,final_acc,confidence_mean,entropy_mean,margin_mean,brier,ece,logit_norm_mean,metric_batch_acc,metric_batch_loss,feature_erank,feature_erank_norm,feature_norm_mean,feature_cosine_mean,weight_l2,weight_l1,weight_linf,weight_rms,distance_from_init_l2,relative_distance_from_init,update_to_weight_ratio,grad_norm,grad_l1,grad_linf,grad_mean_abs,fisher_trace,fisher_spectral,fisher_stable_rank,fisher_entropy,fim_erank,fim_norm,fisher_condition,grad_noise_scale,per_sample_grad_norm_mean,per_sample_grad_norm_std,sam_sharpness,asam_sharpness,hessian_error,random_metric,elapsed_s
text,char_lm,char_transformer,0,2094311,7.433022914112735e-05,0.0008795346840271043,0.2,adamw,12,64,80000,12000,12,cuda,0.029221902244620852,0.9924973958333333,0.026272293077574838,0.9931597222222223,0.021770089399069548,0.99371337890625,0.026272293077574838,0.9931597222222223,0.9938769936561584,0.02247275598347187,0.9925276637077332,0.005773184821009636,0.0026256320998072624,26.651418685913086,0.9947916865348816,0.015045229345560074,5.36039643699376,0.4466997030828133,3.4784717559814453,0.9912651777267456,154.8419189453125,46027.1953125,4.021462440490723,0.19601570069789886,30.953880310058594,0.2035306990146637,0.1999063342809677,0.055610038340091705,22.011672973632812,0.006618923041969538,3.5271445085527375e-05,0.027839884161949158,0.005085797514766455,5.474044940964101,2.120820999145508,8.33797986457422,0.694831655381185,28.77510643005371,8.002456665039062,0.15634693205356598,0.058271121233701706,0.002927812747657299,0.0038960641250014305,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.8645206689834595,230.2824366092682
text,char_lm,char_transformer,1,1962833,0.0019234617876845667,0.002461624632753309,0.05,adamw,12,64,80000,12000,12,cuda,0.02454920231633716,0.9937265625,0.024481198065810734,0.9939921875,0.013880467663208643,0.9955037434895834,0.024481198065810734,0.9939921875,0.9965034127235413,0.012009618803858757,0.9954238533973694,0.0036959515418857336,0.0017765519442036748,39.33671188354492,0.9965277910232544,0.009512364864349365,5.6221335699839985,0.46851113083199986,3.870046377182007,0.9903749823570251,209.2713623046875,106949.53125,4.2465596199035645,0.2649115025997162,148.07437133789062,0.9702386856079102,0.7075710892677307,0.014167721383273602,3.3831396102905273,0.002168159931898117,5.421133664640365e-06,0.0019897858146578074,0.0006470048101618886,3.07538024498544,1.7380000352859497,5.68596115226387,0.47383009602198917,164362480.0,8.9130277633667,0.033966995775699615,0.02891416661441326,0.0007253969088196754,0.0016347728669643402,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,3.1020143032073975,229.9737720489502
text,char_lm,char_transformer,2,3306201,5.843716566316e-05,3.005358646497566e-05,0.1,adamw,12,64,80000,12000,12,cuda,0.03383925721380446,0.9916258680555555,0.02742795666721132,0.9931145833333334,0.019554926392932732,0.9943033854166666,0.02742795666721132,0.9931145833333334,0.99498051404953,0.019130157306790352,0.9939293265342712,0.005277963820844889,0.001784105901606381,25.34495735168457,0.9947916865348816,0.014550801366567612,6.360398582261293,0.5300332151884412,3.596019744873047,0.9891123175621033,152.833740234375,45787.21875,3.8753395080566406,0.19347380101680756,27.893096923828125,0.18577322363853455,0.18250614404678345,0.06244579330086708,28.177635192871094,0.0050802938640117645,4.5151762606110424e-05,0.03938068822026253,0.008545638993382454,4.6082789415922845,1.9724764823913574,7.1884570144692725,0.599038084539106,53112.35546875,9.098965644836426,0.17022359371185303,0.1020030751824379,0.003380480222404003,0.004343877546489239,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-1.8692965507507324,230.11866426467896
text,char_lm,char_transformer,3,5790715,3.255716294962922e-05,1.720501221481112e-05,0.2,adamw,12,64,80000,12000,12,cuda,0.06168286683824327,0.9848585069444444,0.028981043742762672,0.9925815972222222,0.02346116987367471,0.9935506184895834,0.028981043742762672,0.9925815972222222,0.9928978681564331,0.026248548179864883,0.9914408922195435,0.007123365066945553,0.003071093000471592,26.014291763305664,0.9939236044883728,0.019215647131204605,5.947909330385861,0.4956591108654884,3.3064162731170654,0.9866104125976562,154.0925750732422,45029.38671875,4.088162899017334,0.1950673907995224,27.543241500854492,0.18170450627803802,0.17874476313591003,0.06275442987680435,26.270370483398438,0.005073190201073885,4.209556936984882e-05,0.03849951922893524,0.007241790182888508,5.316298629389836,2.172194480895996,8.777524282165762,0.7314603568471468,1606.8033447265625,8.776122093200684,0.18639634549617767,0.06128568947315216,0.003302842378616333,0.004308013245463371,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-1.267255425453186,232.12178444862366
text,char_lm,char_transformer,4,4297246,8.181486610316756e-05,2.417914916081446e-05,0.05,adamw,12,64,80000,12000,12,cuda,0.029349197328090666,0.9925659722222222,0.02572329804632399,0.9934348958333333,0.018499275669455528,0.9945882161458334,0.02572329804632399,0.9934348958333333,0.9951275587081909,0.018007665872573853,0.9940569400787354,0.004416629206389189,0.002682719612494111,24.418725967407227,0.9965277910232544,0.012455207295715809,6.711647964321987,0.5593039970268322,3.4789175987243652,0.9873816967010498,153.25564575195312,46205.96875,3.973846673965454,0.194008007645607,28.785940170288086,0.19148042798042297,0.18782955408096313,0.05478788539767265,23.647197723388672,0.005945811979472637,3.789220500038937e-05,0.03021818771958351,0.007123949937522411,4.241774293805763,1.9514508247375488,7.038892714395944,0.5865743928663286,27200.5859375,9.066980361938477,0.1492472141981125,0.08912606537342072,0.002920452505350113,0.00354568287730217,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-0.2894513010978699,236.51332092285156
text,char_lm,char_transformer,5,4759588,4.795454651576617e-05,3.6198792296760003e-06,0.05,adamw,12,64,80000,12000,12,cuda,0.048757884462674456,0.9867612847222222,0.030117597573333318,0.9924895833333334,0.0195736155534784,0.9940592447916666,0.030117597573333318,0.9924895833333334,0.9945246577262878,0.01986733078956604,0.9932087659835815,0.005467329639941454,0.001998752821236849,23.291786193847656,0.9947916865348816,0.013548502698540688,6.7309931611031955,0.5609160967585997,3.6357593536376953,0.9867113828659058,153.07568359375,45757.9375,4.693671703338623,0.19377988576889038,26.449403762817383,0.17537839710712433,0.17278644442558289,0.07498542219400406,35.125511169433594,0.005097908433526754,5.62850218557287e-05,0.05633639916777611,0.016061529517173767,3.5075363840057054,1.9663337469100952,7.144433686786329,0.5953694738988607,311.031982421875,9.019253730773926,0.20505106449127197,0.119542695581913,0.00410899892449379,0.0050600431859493256,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.49577596783638,236.58053588867188
text,char_lm,char_transformer,6,3905030,0.002586920582698863,0.00035343812306787097,0.2,adamw,12,64,80000,12000,12,cuda,0.02520974102285173,0.9935859375,0.025235901011361018,0.9938029513888889,0.017737736459821463,0.9943644205729166,0.025235901011361018,0.9938029513888889,0.9959193468093872,0.014775682240724564,0.9948617219924927,0.004697820637375116,0.002259283559396863,54.31249237060547,0.9956597089767456,0.012453913688659668,4.184576837062127,0.3487147364218439,4.148702621459961,0.9942964911460876,252.2142791748047,137049.140625,4.638955116271973,0.3192702531814575,201.85452270507812,1.3395864963531494,0.8003295063972473,0.013353830203413963,2.590653896331787,0.0015855012461543083,4.151256689510774e-06,0.001794692361727357,0.0004855141160078347,3.6964782255721644,1.8349077701568604,6.264556600163152,0.5220463833469293,99544.3984375,9.064172744750977,0.03422647342085838,0.024964792653918266,0.0006792247295379639,0.0016974573954939842,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.1039593517780304,236.42549324035645
text,char_lm,char_transformer,7,4743295,0.0013410995409221227,1.8114392479863145e-06,0.0,adamw,12,64,80000,12000,12,cuda,0.027073420842488607,0.9930581597222222,0.025852015342977312,0.9936345486111111,0.012733417097479105,0.9961140950520834,0.025852015342977312,0.9936345486111111,0.9960566759109497,0.013447814621031284,0.9948204755783081,0.003379108617082238,0.0022180541418492794,35.02692413330078,0.9973958134651184,0.008428480476140976,6.767566133685845,0.5639638444738204,3.9789438247680664,0.9835478067398071,190.7352294921875,87548.234375,4.187556743621826,0.2414473295211792,109.00419616699219,0.7219955921173096,0.5714948177337646,0.022106828168034554,7.080441474914551,0.0029584853909909725,1.134567992266966e-05,0.005035328678786755,0.0013540108921006322,3.7188243495265008,1.8590521812438965,6.417651313793588,0.5348042761494657,16302214.0,9.303269386291504,0.05712416395545006,0.04209702089428902,0.001133388839662075,0.0023918645456433296,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,0.6823160648345947,220.83924627304077
text,char_lm,char_transformer,8,6839916,0.0008616340973865567,2.0640174092011665e-06,0.05,adamw,12,64,80000,12000,12,cuda,0.0246006783246994,0.9937595486111112,0.024092746833960215,0.9940338541666667,0.014055985802163681,0.99560546875,0.024092746833960215,0.9940338541666667,0.9963550567626953,0.01232204306870699,0.9951710104942322,0.0032621093560010195,0.0019709302578121424,31.45093536376953,0.9973958134651184,0.007851391099393368,5.7764292988240085,0.481369108235334,3.7949814796447754,0.9916141629219055,171.2956085205078,69379.6875,4.645382881164551,0.2168394923210144,77.56964111328125,0.5135646462440491,0.45284080505371094,0.026486307382583618,7.626721382141113,0.007198736071586609,1.2221036740811542e-05,0.007010910660028458,0.0017664494225755334,3.968928046542891,1.7236469984054565,5.604931366529261,0.4670776138774384,4087486.5,8.99382209777832,0.06470364332199097,0.053144630044698715,0.0013803159818053246,0.00216743815690279,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-1.51006281375885,236.55262875556946
text,char_lm,char_transformer,9,7408647,0.0008527247088137736,4.723227614807552e-06,0.1,adamw,12,64,80000,12000,12,cuda,0.02530016803079181,0.9936701388888889,0.02505358286698659,0.9939713541666667,0.015040455696483454,0.9952392578125,0.02505358286698659,0.9939713541666667,0.996246874332428,0.01272681076079607,0.9951271414756775,0.0041346121579408646,0.0019268712494522333,33.67270278930664,0.9956597089767456,0.010372353717684746,4.367507164871394,0.36395893040594945,4.0051984786987305,0.9921254515647888,170.5958709716797,68675.015625,4.067409038543701,0.2159544676542282,78.15528869628906,0.5179757475852966,0.45813119411468506,0.026956118643283844,8.297709465026855,0.005494392476975918,1.3296226825332269e-05,0.007475479505956173,0.0021018274128437042,3.5566571530654056,1.7299922704696655,5.640609800767688,0.4700508167306407,6328478.0,9.287843704223633,0.06772593408823013,0.05374644696712494,0.00138960313051939,0.0023094620555639267,derivative for aten::_scaled_dot_product_efficient_attention_backward is not implemented,-1.194472312927246,236.46256351470947
