lr,wd,val_loss_ep5,train_loss_ep5,sam_sharpness_ep5,asam_sharpness_ep5,val_loss_ep10,train_loss_ep10,sam_sharpness_ep10,asam_sharpness_ep10,val_loss_ep20,train_loss_ep20,sam_sharpness_ep20,asam_sharpness_ep20,fim_norm,fisher_trace,grad_norm,weight_norm,val_loss,train_loss,sam_sharpness,asam_sharpness,val_loss_ep50,train_loss_ep50,sam_sharpness_ep50,asam_sharpness_ep50,final_acc
0.0005611516415334506,0.0007969454818643932,2.249074697494507,2.2320168018341064,0.033976078033447266,0.02458333969116211,2.140549659729004,2.1224820613861084,0.03333473205566406,0.024518728256225586,1.9279603958129883,1.9080232381820679,0.03361678123474121,0.026119470596313477,0.4017572887232768,10.978406376838684,0.6735970973968506,6.864628314971924,1.9279603958129883,1.9080232381820679,0.03361678123474121,0.026119470596313477,1.302419662475586,1.2828997373580933,0.03218793869018555,0.029822945594787598,0.9527778029441833
0.0001698670453505509,0.00016524680777017762,2.285349130630493,2.280040740966797,0.034403324127197266,0.025063037872314453,2.2504913806915283,2.244525194168091,0.034026384353637695,0.02480602264404297,2.181915760040283,2.174633741378784,0.033562660217285156,0.024584293365478516,0.428664531591987,10.885311951637268,0.6702890992164612,6.825682163238525,2.181915760040283,2.174633741378784,0.033562660217285156,0.024584293365478516,1.976990818977356,1.966164469718933,0.03386962413787842,0.025690674781799316,0.8638888597488403
0.00467395253077256,1.6202879744486195e-05,1.5072853565216064,1.494687557220459,0.03334927558898926,0.029246211051940918,0.8855026960372925,0.8783961534500122,0.0277596116065979,0.02838844060897827,0.3216686546802521,0.30134937167167664,0.013880357146263123,0.01719464361667633,0.2366963291515734,5.710240959506482,0.2689107358455658,9.689826011657715,0.3216686546802521,0.30134937167167664,0.013880357146263123,0.01719464361667633,0.11007830500602722,0.04077352210879326,0.005758028477430344,0.008685942739248276,0.9777777791023254
0.009506551974984317,0.00012562887007755685,0.9213040471076965,0.8975430130958557,0.029010117053985596,0.029072225093841553,0.339310884475708,0.31485846638679504,0.016010135412216187,0.01955723762512207,0.13849680125713348,0.07733210921287537,0.008617270737886429,0.01312287151813507,0.09111388443061663,2.4079219560214553,0.15722139179706573,12.590909004211426,0.13849680125713348,0.07733210921287537,0.008617270737886429,0.01312287151813507,0.10332895070314407,0.006271292455494404,0.0011607715860009193,0.002515256404876709,0.9694444537162781
0.003695427629909335,0.00018606616740103076,1.6103973388671875,1.6002098321914673,0.033627867698669434,0.027701258659362793,1.0548301935195923,1.0521806478500366,0.030579566955566406,0.02952861785888672,0.4221091866493225,0.424234002828598,0.01816698908805847,0.021169930696487427,0.26584276423746805,8.899427595883608,0.35475701093673706,9.019767761230469,0.4221091866493225,0.424234002828598,0.01816698908805847,0.021169930696487427,0.12611033022403717,0.06444133818149567,0.007319562137126923,0.0101565420627594,0.9722222089767456
0.00016864634905345633,0.000889131893580497,2.2717015743255615,2.275630474090576,0.034887075424194336,0.024529695510864258,2.236931085586548,2.2410738468170166,0.03456234931945801,0.024298667907714844,2.1681582927703857,2.1726951599121094,0.03416180610656738,0.024121761322021484,0.4380144907042344,11.219815683364867,0.6821136474609375,6.851038932800293,2.1681582927703857,2.1726951599121094,0.03416180610656738,0.024121761322021484,1.960715889930725,1.9659125804901123,0.03457009792327881,0.02543783187866211,0.8638888597488403
0.00010838783508283825,0.0006069410817199088,2.2851064205169678,2.2814667224884033,0.03339123725891113,0.02434086799621582,2.2642579078674316,2.2599384784698486,0.033262014389038086,0.024263620376586914,2.2227985858917236,2.2171454429626465,0.0331110954284668,0.02422165870666504,0.41840221282464235,10.410268959999085,0.6615440249443054,6.795740604400635,2.2227985858917236,2.2171454429626465,0.0331110954284668,0.02422165870666504,2.097993850708008,2.0885162353515625,0.03345537185668945,0.02491307258605957,0.8138889074325562
0.00039987928942942635,3.1197778040856405e-05,2.258833885192871,2.263777732849121,0.03105640411376953,0.022037744522094727,2.185878038406372,2.190800428390503,0.030626773834228516,0.021870851516723633,2.042113780975342,2.047322988510132,0.030876636505126953,0.022671222686767578,0.42996128096313463,10.408876643180847,0.6195040345191956,6.852792739868164,2.042113780975342,2.047322988510132,0.030876636505126953,0.022671222686767578,1.5758804082870483,1.5866308212280273,0.034268856048583984,0.028432250022888184,0.9555555582046509
0.0009754461323261458,2.8586843815282855e-05,2.1267502307891846,2.1192164421081543,0.0324249267578125,0.0232698917388916,1.9469431638717651,1.934212327003479,0.032623887062072754,0.024318933486938477,1.583543062210083,1.5608346462249756,0.034067749977111816,0.028231024742126465,0.41989620898438446,12.889342994689942,0.6810593008995056,7.0739264488220215,1.583543062210083,1.5608346462249756,0.034067749977111816,0.028231024742126465,0.6912254691123962,0.6736412644386292,0.025959014892578125,0.027045369148254395,0.9722222089767456
0.002246274520879033,1.2286391913479704e-05,1.9155024290084839,1.914902687072754,0.032444000244140625,0.024776935577392578,1.531849980354309,1.5170669555664062,0.03402841091156006,0.02888190746307373,0.896256148815155,0.8805754780769348,0.028019070625305176,0.028648197650909424,0.35380840826079807,13.330514373779296,0.5536810159683228,7.930389881134033,0.896256148815155,0.8805754780769348,0.028019070625305176,0.028648197650909424,0.21123099327087402,0.1845257729291916,0.011139094829559326,0.014009252190589905,0.9694444537162781
