suite,task,arch,run_id,seed,lr,wd,dropout,optimizer,epochs,batch_size,n_train,n_test,metric_n,device,val_loss_ep12,val_acc_ep12,val_loss_ep25,val_acc_ep25,train_loss,train_acc,val_loss,final_acc,confidence_mean,entropy_mean,margin_mean,brier,ece,logit_norm_mean,metric_batch_acc,metric_batch_loss,feature_erank,feature_erank_norm,feature_norm_mean,feature_cosine_mean,weight_l2,weight_l1,weight_linf,weight_rms,distance_from_init_l2,relative_distance_from_init,update_to_weight_ratio,grad_norm,grad_l1,grad_linf,grad_mean_abs,fisher_trace,fisher_spectral,fisher_stable_rank,fisher_entropy,fim_erank,fim_norm,fisher_condition,grad_noise_scale,per_sample_grad_norm_mean,per_sample_grad_norm_std,sam_sharpness,asam_sharpness,random_metric,elapsed_s
image,cifar10,cnn,0,8011093,7.433022914112735e-05,0.0008795346840271043,0.0,adamw,25,128,20000,5000,16,cuda,1.1762034564971924,0.5874,0.995297494316101,0.6458,0.8764754384756088,0.7041015625,0.995297494316101,0.6458,0.6515331864356995,0.9721105098724365,0.47016116976737976,0.3680962324142456,0.1756323277950287,9.805530548095703,0.75,0.8339091539382935,6.356436109692417,0.3972772568557761,10.018609046936035,0.5994542837142944,26.213346481323242,6711.2646484375,1.1579140424728394,0.04287309944629669,7.478574752807617,0.30544209480285645,0.2852964401245117,32.265625,9205.783203125,1.8965423107147217,0.024625321850180626,21837.5703125,8454.04296875,2.5830919470390223,1.804614543914795,6.0776280399437015,0.37985175249648134,1765.022216796875,19.97607421875,116.86275482177734,90.44706726074219,4.918618679046631,2.6100010871887207,0.7047494649887085,72.7300796508789
image,cifar10,cnn,1,2588196,0.002677397767234046,0.0003781515747397175,0.2,adamw,25,128,20000,5000,16,cuda,0.909680027294159,0.688,0.7345592149496079,0.7526,0.3893028497695923,0.869140625,0.7345592149496079,0.7526,0.7572104334831238,0.668956995010376,0.6191408634185791,0.312719464302063,0.1332656443119049,21.120864868164062,0.75,0.6525431871414185,8.748580633221474,0.5467862895763421,8.787397384643555,0.7160812020301819,104.57743835449219,48799.94140625,2.0326836109161377,0.17104077339172363,100.46416473388672,4.099001407623291,0.9606676697731018,7.238160610198975,974.0513916015625,0.6758099794387817,0.0026055718772113323,529.0455932617188,183.4217071533203,2.884312884622168,1.6395320892333984,5.1527578404523595,0.32204736502827247,2928633.75,9.098036766052246,15.246673583984375,17.221637725830078,0.5046714544296265,2.271008014678955,-0.03761511296033859,70.24800133705139
image,cifar10,cnn,2,1447840,0.00021241742837694197,0.00141572916859961,0.1,adamw,25,128,20000,5000,16,cuda,1.1034826288223267,0.6106,0.999770663356781,0.6462,0.848597563803196,0.6943359375,0.999770663356781,0.6462,0.695656418800354,0.8431538939476013,0.5246121883392334,0.4817028045654297,0.19118401408195496,10.93738842010498,0.6875,1.0794082880020142,7.388794502370431,0.46179965639815196,9.56755256652832,0.7206011414527893,28.686777114868164,7872.80859375,1.2868320941925049,0.046918462961912155,13.156496047973633,0.5370599627494812,0.45862579345703125,25.25655746459961,7108.78125,2.7887725830078125,0.019015876576304436,5167.6015625,1786.146240234375,2.89315703613491,1.8932271003723145,6.640764212547371,0.41504776328421067,66902.9453125,7.101039886474609,58.390174865722656,41.930763244628906,2.11387300491333,2.0531954765319824,-0.3480278253555298,69.81058168411255
image,cifar10,cnn,3,1576434,0.00015552310103499005,5.721500444786903e-06,0.05,adamw,25,128,20000,5000,16,cuda,1.1250695182800292,0.597,1.0530728065490722,0.6318,0.9121367558836937,0.6923828125,1.0530728065490722,0.6318,0.6994718313217163,0.8847982883453369,0.5501387715339661,0.2997722923755646,0.29999592900276184,11.84110164642334,0.875,0.5897254347801208,7.19330930243258,0.4495818314020362,10.149187088012695,0.7090675830841064,27.705360412597656,7291.65869140625,1.2467336654663086,0.045313313603401184,10.92711353302002,0.44623830914497375,0.3944043219089508,22.211688995361328,6128.7958984375,1.8316682577133179,0.01639443077147007,8710.708984375,4824.021484375,1.8056944838635098,1.4844169616699219,4.412392102346212,0.27577450639663825,30727.908203125,16.655916213989258,67.02559661865234,64.94825744628906,2.078188896179199,1.7582612037658691,-1.196824550628662,69.21683311462402
image,cifar10,cnn,4,3978697,0.00016500490654937055,2.260266436846252e-06,0.0,adamw,25,128,20000,5000,16,cuda,1.1248453143119812,0.5966,0.9642592487335205,0.659,0.7101498767733574,0.76171875,0.9642592487335205,0.659,0.7094616293907166,0.7997003793716431,0.5268765687942505,0.24397151172161102,0.16553838551044464,12.33479118347168,0.875,0.4845452308654785,6.185007388326758,0.3865629617704224,10.04665756225586,0.6560238003730774,27.974580764770508,7400.6318359375,1.266352891921997,0.04575362429022789,10.860543251037598,0.4430190622806549,0.38822898268699646,32.560523986816406,8788.1796875,2.3123998641967773,0.023508239537477493,12020.2021484375,4554.9140625,2.638952564966751,1.840620756149292,6.3004477026875785,0.39377798141797365,44478.35546875,10.337804794311523,91.0801773071289,61.029518127441406,4.521501064300537,2.604863166809082,-0.7992645502090454,68.69636178016663
image,cifar10,cnn,5,3905030,0.002586920582698863,0.00035343812306787097,0.2,adamw,25,128,20000,5000,16,cuda,0.9411783803939819,0.6696,0.7394754306793213,0.75,0.3822929859161377,0.87890625,0.7394754306793213,0.75,0.7858584523200989,0.6915753483772278,0.6965361833572388,0.1090020164847374,0.21414154767990112,18.369470596313477,1.0,0.2785724997520447,10.450980460476867,0.6531862787798042,8.086944580078125,0.7302170395851135,102.24473571777344,47681.203125,1.960907220840454,0.16722556948661804,98.0267105102539,4.001338005065918,0.9587457776069641,2.490992307662964,380.0820617675781,0.20778000354766846,0.0010167134460061789,130.92575073242188,47.938255310058594,2.7311329935895223,1.7761690616607666,5.907182530365863,0.36919890814786643,47676.296875,20.099897384643555,8.262615203857422,7.9154887199401855,0.16808852553367615,0.7926185727119446,-1.023638367652893,68.73325729370117
image,cifar10,cnn,6,774962,0.0013410995409221227,1.8114392479863145e-06,0.1,adamw,25,128,20000,5000,16,cuda,1.0347129127502441,0.6368,0.871671690273285,0.7214,0.5124436430633068,0.8330078125,0.871671690273285,0.7214,0.8997085094451904,0.3259093165397644,0.8256198763847351,0.10929611325263977,0.1300809532403946,19.904922485351562,0.9375,0.1955259144306183,9.429191886390946,0.5893244928994341,9.823168754577637,0.7332175970077515,59.68363571166992,25587.19140625,1.7662550210952759,0.09761516004800797,52.393531799316406,2.1367523670196533,0.8778542280197144,5.1499857902526855,881.4000244140625,0.49159055948257446,0.0023577308747917414,457.9940185546875,375.92901611328125,1.2182991972523765,0.7214170694351196,2.057346583047246,0.12858416144045287,2751863.25,16.268234252929688,10.456656455993652,18.672239303588867,0.3368475139141083,0.8725271224975586,-2.067619800567627,69.12223696708679
image,cifar10,cnn,7,1955699,4.551355338540921e-05,0.00013181709249494424,0.1,adamw,25,128,20000,5000,16,cuda,1.3194790325164796,0.5348,1.1851877368927002,0.5756,1.1281928569078445,0.5830078125,1.1851877368927002,0.5756,0.5960356593132019,1.0799509286880493,0.39593690633773804,0.6033578515052795,0.24413542449474335,7.530648231506348,0.5625,1.4777566194534302,5.540564209974464,0.346285263123404,9.333910942077637,0.6314945816993713,25.559049606323242,6552.4443359375,1.1024858951568604,0.041802965104579926,6.506767749786377,0.2655586004257202,0.2545778453350067,28.59206199645996,7684.55078125,1.5708180665969849,0.020556049421429634,11088.779296875,5228.9130859375,2.1206662100957208,1.5732848644256592,4.822463214704801,0.3014039509190501,6103.2119140625,12.564156532287598,79.07786560058594,69.53754425048828,2.15132474899292,1.8122259378433228,-0.01890961080789566,68.47124218940735
image,cifar10,cnn,8,7268438,0.0011060285790465674,0.00221939981629439,0.1,sgd,25,128,20000,5000,16,cuda,1.3688308813095094,0.5106,1.2334456312179565,0.5512,1.146160751581192,0.5810546875,1.2334456312179565,0.5512,0.5507616996765137,1.2700071334838867,0.3331589102745056,0.591667890548706,0.32169607281684875,6.243577480316162,0.5,1.2350647449493408,5.60880223451408,0.35055013965713,7.025665283203125,0.6414660215377808,22.928451538085938,6027.95703125,0.9727464318275452,0.03750046715140343,4.9385528564453125,0.20151083171367645,0.21538972854614258,18.084957122802734,5930.8076171875,1.1493065357208252,0.015864815562963486,5367.7265625,2249.21337890625,2.3864905894834316,1.8585728406906128,6.414575533147073,0.4009109708216921,754.0154418945312,15.411774635314941,62.300010681152344,38.554344177246094,1.2556805610656738,1.0781874656677246,-0.40107566118240356,68.51314067840576
image,cifar10,cnn,9,1649993,0.025369501911127686,8.726786158453418e-05,0.2,sgd,25,128,20000,5000,16,cuda,0.9075985404968262,0.674,0.9199630905151367,0.692,0.6073601096868515,0.7919921875,0.9199630905151367,0.692,0.8649925589561462,0.4126148223876953,0.793465793132782,0.18686547875404358,0.1473449170589447,11.931740760803223,0.875,0.45637547969818115,8.881269025941327,0.5550793141213329,7.929636001586914,0.7594047784805298,35.01861572265625,10279.90625,1.537058711051941,0.0572744645178318,24.66440200805664,1.0067459344863892,0.7043225765228271,5.817107200622559,2344.81689453125,0.2259913682937622,0.006272347643971443,520.3751831054688,248.6501007080078,2.092801014854799,1.2274986505508423,3.412682340923489,0.21329264630771808,10899912.0,14.378092765808105,12.114063262939453,19.329376220703125,0.3702404499053955,0.9477887153625488,-0.10821731388568878,68.64815473556519
