seed,lr,wd,epochs,n_train,n_test,metric_n,train_loss,train_acc,val_loss,final_acc,fim_norm,elapsed_s
11,0.003,0.0,1,384,256,8,2.305326461791992,0.109375,2.3022871017456055,0.1015625,0.8173618528808985,0.7456517219543457
11,0.003,0.0001,1,384,256,8,2.3053237199783325,0.109375,2.302290618419647,0.1015625,0.8171307493421807,0.5793371200561523
11,0.01,0.0,1,384,256,8,2.302082618077596,0.09114583333333333,2.303851544857025,0.06640625,0.8174300821518382,0.6163692474365234
11,0.01,0.0001,1,384,256,8,2.302094340324402,0.09114583333333333,2.303885281085968,0.05859375,0.8173367707954315,0.6500563621520996
22,0.003,0.0,1,384,256,8,2.2969213326772056,0.13802083333333334,2.2995073199272156,0.19140625,0.6279416162783188,0.6384954452514648
22,0.003,0.0001,1,384,256,8,2.296897610028585,0.13802083333333334,2.29949951171875,0.19140625,0.6285247643415148,0.5727524757385254
22,0.01,0.0,1,384,256,8,2.293120185534159,0.15104166666666666,2.292254090309143,0.1796875,0.6133301379622145,0.5867414474487305
22,0.01,0.0001,1,384,256,8,2.293055772781372,0.15104166666666666,2.2922953963279724,0.1796875,0.6136704784229773,0.5733864307403564
