group,n,metric,raw_spearman,mbe_partial,delta_partial_minus_raw,classification
pooled,360,fim_norm,0.46329021964600875,-0.10664318594925151,-0.5699334055952603,weak-or-mixed
pooled,360,fim_erank,0.1505906149139514,-0.10733601072269759,-0.257926625636649,weak-or-mixed
pooled,360,fisher_trace,-0.9157169135478246,-0.3643655938553659,0.5513513196924587,survives
pooled,360,fisher_spectral,-0.9066738993331709,-0.339587463841018,0.5670864354921529,survives
pooled,360,fisher_stable_rank,0.44875892130910106,0.03651339220218982,-0.41224552910691126,washout
pooled,360,fisher_entropy,0.1505906149139514,-0.10733601072269759,-0.257926625636649,weak-or-mixed
pooled,360,fisher_condition,0.14024394674514828,0.3242500967427572,0.1840061499976089,hidden-after-control
pooled,360,grad_noise_scale,-0.5508281970717311,-0.021714596602190283,0.5291136004695408,washout
pooled,360,grad_norm,-0.9137274169836836,-0.36728921080228033,0.5464382061814033,survives
pooled,360,grad_l1,-0.9006405934630933,-0.3336332343626201,0.5670073591004732,survives
pooled,360,grad_linf,-0.7592014055371353,0.08217850708402777,0.8413799126211631,washout
pooled,360,grad_mean_abs,-0.9118123818617302,-0.3681263693088456,0.5436860125528846,survives
pooled,360,per_sample_grad_norm_mean,-0.9172865195960042,-0.3692712310229588,0.5480152885730454,survives
pooled,360,per_sample_grad_norm_std,-0.8900826296992752,-0.23452756295568253,0.6555550667435927,survives
pooled,360,sam_sharpness,-0.8889183819684952,-0.3101124854260601,0.578805896542435,survives
pooled,360,asam_sharpness,-0.892448034373111,-0.40022929405554547,0.4922187403175656,survives
pooled,120,hessian_trace_hutchinson,-0.5878136947521193,-0.0925335398794814,0.4952801548726379,washout
pooled,120,hessian_top_eig_power,-0.5010886210483056,-0.24016647561760748,0.26092214543069814,survives
pooled,360,weight_l2,0.8730798287786791,0.20667261164207992,-0.6664072171365991,survives
pooled,360,weight_l1,0.7749332177994636,-0.029005142739777112,-0.8039383605392407,washout
pooled,360,weight_linf,0.8175503690219094,-0.1052239115935763,-0.9227742806154857,weak-or-mixed
pooled,360,weight_rms,0.8519965665469246,0.23062323664919013,-0.6213733298977344,survives
pooled,360,distance_from_init_l2,0.7573895104439111,-0.1309105848514731,-0.8883000952953842,weak-or-mixed
pooled,360,relative_distance_from_init,0.27627998608378806,0.13296503452616537,-0.1433149515576227,weak-or-mixed
pooled,360,update_to_weight_ratio,0.2597473596582469,0.07108861907501382,-0.1886587405832331,washout
pooled,360,confidence_mean,0.7779375247959015,0.1809729256534887,-0.5969645991424128,weak-or-mixed
pooled,360,entropy_mean,-0.81293671748742,-0.23499706167302972,0.5779396558143903,survives
pooled,360,margin_mean,0.7935725210155187,0.1707479919560189,-0.6228245290594998,weak-or-mixed
pooled,360,brier,-0.6843369198959239,-0.12648514506481048,0.5578517748311135,weak-or-mixed
pooled,360,ece,-0.7947570656903887,-0.1637390001753934,0.6310180655149953,weak-or-mixed
pooled,360,logit_norm_mean,0.921333286783064,0.2900075366074693,-0.6313257501755947,survives
pooled,360,metric_batch_acc,0.49619579884019016,0.09036149459114894,-0.4058343042490412,washout
