group,n,metric,raw_spearman,mbe_partial,delta_partial_minus_raw,classification
pooled,680,fim_norm,0.22486856902462052,-0.20284803674349908,-0.4277166057681196,reverse-inversion
pooled,680,fim_erank,-0.06827296914040876,-0.2064648199862048,-0.13819185084579605,hidden-after-control
pooled,680,fisher_trace,-0.808950274548484,-0.21126317109536558,0.5976871034531184,survives
pooled,680,fisher_spectral,-0.7760034648559461,-0.1647247478299154,0.6112787170260306,weak-or-mixed
pooled,680,fisher_stable_rank,0.19920155059810202,-0.12639077347895428,-0.3255923240770563,weak-or-mixed
pooled,680,fisher_entropy,-0.06827296914040876,-0.2064648199862048,-0.13819185084579605,hidden-after-control
pooled,680,fisher_condition,0.22872189818889496,0.1901170900922074,-0.038604808096687565,weak-or-mixed
pooled,680,grad_noise_scale,-0.4237668595920142,0.11401890066793308,0.5377857602599473,weak-or-mixed
pooled,680,grad_norm,-0.8085811309041107,-0.226595396158609,0.5819857347455016,survives
pooled,680,grad_l1,-0.7603560105655343,-0.21977430828397884,0.5405817022815554,survives
pooled,680,grad_linf,-0.7571079853838479,-0.2596481094474153,0.49745987593643265,survives
pooled,680,grad_mean_abs,-0.7995012086049764,-0.23271533475303738,0.566785873851939,survives
pooled,680,per_sample_grad_norm_mean,-0.8397962380519662,-0.2702248831662586,0.5695713548857076,survives
pooled,680,per_sample_grad_norm_std,-0.7641307786347513,-0.12855115680577348,0.6355796218289779,weak-or-mixed
pooled,680,sam_sharpness,-0.6839880046735253,-0.14140435873098672,0.5425836459425386,weak-or-mixed
pooled,680,asam_sharpness,-0.7002412972459329,-0.2179669084158953,0.4822743888300376,survives
pooled,120,hessian_trace_hutchinson,-0.5878136947521193,-0.0925335398794814,0.4952801548726379,washout
pooled,120,hessian_top_eig_power,-0.5010886210483056,-0.24016647561760748,0.26092214543069814,survives
pooled,680,weight_l2,0.685360894075802,0.09295641666499618,-0.5924044774108058,washout
pooled,680,weight_l1,0.6138788965363452,-0.027104661855840182,-0.6409835583921853,washout
pooled,680,weight_linf,0.8065932317934238,0.14288598997238305,-0.6637072418210408,weak-or-mixed
pooled,680,weight_rms,0.5953705933136312,0.10582329074105082,-0.4895473025725804,weak-or-mixed
pooled,680,distance_from_init_l2,0.6717805798733901,0.013922349832344577,-0.6578582300410456,washout
pooled,680,relative_distance_from_init,0.25731292737055755,0.1286628456373878,-0.12865008173316975,weak-or-mixed
pooled,680,update_to_weight_ratio,0.24144742167542854,0.06601497974972448,-0.17543244192570406,washout
pooled,680,confidence_mean,0.833378882358503,0.33899033022025216,-0.49438855213825084,survives
pooled,680,entropy_mean,-0.8557470026668709,-0.37046526339702707,0.4852817392698438,survives
pooled,680,margin_mean,0.8472881536086313,0.34461632561351535,-0.5026718279951159,survives
pooled,680,brier,-0.7545114429192746,-0.34893291970819645,0.4055785232110782,survives
pooled,680,ece,-0.8454670629801064,-0.365605528376973,0.4798615346031334,survives
pooled,680,logit_norm_mean,0.8895929810162461,0.3322501582489618,-0.5573428227672843,survives
pooled,680,metric_batch_acc,0.6214035072690023,0.30530062309458583,-0.31610288417441645,survives
pooled,680,metric_batch_loss,-0.8107181949601617,-0.381314966091559,0.4294032288686027,survives
pooled,680,feature_erank,-0.5380328820835625,0.09656380781411708,0.6345966898976796,washout
pooled,680,feature_erank_norm,-0.17853626158427752,0.1386182981632219,0.3171545597474994,weak-or-mixed
pooled,680,feature_norm_mean,-0.4249527249979203,0.07147223054533378,0.49642495554325405,washout
pooled,680,feature_cosine_mean,0.7857676720394033,0.1642527573239197,-0.6215149147154837,weak-or-mixed
pooled,680,train_loss,-0.8504942861073976,-0.4439969634556313,0.40649732265176636,survives
pooled,680,train_acc,0.8137556499906152,0.37811133787671786,-0.43564431211389737,survives
pooled,680,val_loss,-0.9354999097995528,-0.6979856001376018,0.23751430966195097,survives
pooled,680,random_metric,-0.03457061603258147,-0.06157737271595171,-0.027006756683370242,weak-or-mixed
suite=image,480,fim_norm,-0.6623788050676331,-0.21810835604793213,0.44427044901970103,survives
suite=image,480,fim_erank,-0.6623788050676331,-0.21810835604793213,0.44427044901970103,survives
suite=image,480,fisher_trace,-0.4747400644418903,-0.1799604851750885,0.2947795792668018,weak-or-mixed
suite=image,480,fisher_spectral,-0.3791333014620926,-0.13458517744849718,0.24454812401359544,weak-or-mixed
suite=image,480,fisher_stable_rank,-0.5877795076329109,-0.18568474202267235,0.4020947656102385,weak-or-mixed
suite=image,480,fisher_entropy,-0.6623788050676331,-0.21810835604793213,0.44427044901970103,survives
suite=image,480,fisher_condition,0.657774498918859,0.13698890656801582,-0.5207855923508431,weak-or-mixed
suite=image,480,grad_noise_scale,0.046979211448821986,0.13288298489200884,0.08590377344318685,weak-or-mixed
