group,n,metric,raw_spearman,mbe_partial,delta_partial_minus_raw,classification
pooled,360,fim_norm,0.46329021964600875,-0.04013697800545551,-0.5034271976514643,washout
pooled,360,fim_erank,0.1505906149139514,-0.07931064704431416,-0.22990126195826555,weak-or-mixed
pooled,360,fisher_trace,-0.9157169135478246,-0.358984140039553,0.5567327735082717,survives
pooled,360,fisher_spectral,-0.9066738993331709,-0.34811670745869067,0.5585571918744803,survives
pooled,360,fisher_stable_rank,0.44875892130910106,0.0009432575121140356,-0.447815663796987,washout
pooled,360,fisher_entropy,0.1505906149139514,-0.07931064704431416,-0.22990126195826555,weak-or-mixed
pooled,360,fisher_condition,0.14024394674514828,0.22519849677316583,0.08495455002801755,hidden-after-control
pooled,360,grad_noise_scale,-0.5508281970717311,-0.014813637194852274,0.5360145598768788,washout
pooled,360,grad_norm,-0.9137274169836836,-0.3552852873102845,0.5584421296733991,survives
pooled,360,grad_l1,-0.9006405934630933,-0.36759801627689237,0.533042577186201,survives
pooled,360,grad_linf,-0.7592014055371353,-0.13759886122420678,0.6216025443129285,weak-or-mixed
pooled,360,grad_mean_abs,-0.9118123818617302,-0.3681567339218474,0.5436556479398829,survives
pooled,360,per_sample_grad_norm_mean,-0.9172865195960042,-0.38484522010875555,0.5324412994872486,survives
pooled,360,per_sample_grad_norm_std,-0.8900826296992752,-0.36058733974523643,0.5294952899540388,survives
pooled,360,sam_sharpness,-0.8889183819684952,-0.24240086548746553,0.6465175164810296,survives
pooled,360,asam_sharpness,-0.892448034373111,-0.16947963869236707,0.722968395680744,weak-or-mixed
pooled,120,hessian_trace_hutchinson,-0.5878136947521193,-0.4336367606516031,0.1541769341005162,survives
pooled,120,hessian_top_eig_power,-0.5010886210483056,-0.5254367422002955,-0.02434812115198981,survives
pooled,360,weight_l2,0.8730798287786791,0.1058445883473488,-0.7672352404313303,weak-or-mixed
pooled,360,weight_l1,0.7749332177994636,0.01361032757342395,-0.7613228902260396,washout
pooled,360,weight_linf,0.8175503690219094,0.02371020453155607,-0.7938401644903533,washout
pooled,360,weight_rms,0.8519965665469246,0.10362444437243827,-0.7483721221744863,weak-or-mixed
pooled,360,distance_from_init_l2,0.7573895104439111,0.11788136107989275,-0.6395081493640183,weak-or-mixed
pooled,360,relative_distance_from_init,0.27627998608378806,0.31424742460488364,0.037967438521095576,survives
pooled,360,update_to_weight_ratio,0.2597473596582469,0.2450288391561967,-0.01471852050205022,survives
pooled,360,confidence_mean,0.7779375247959015,0.2221695479574679,-0.5557679768384336,survives
pooled,360,entropy_mean,-0.81293671748742,-0.23591160818449974,0.5770251093029203,survives
pooled,360,margin_mean,0.7935725210155187,0.19399694044675717,-0.5995755805687615,weak-or-mixed
pooled,360,brier,-0.6843369198959239,-0.18008491200699944,0.5042520078889245,weak-or-mixed
pooled,360,ece,-0.7947570656903887,-0.1414563873312416,0.6533006783591471,weak-or-mixed
pooled,360,logit_norm_mean,0.921333286783064,0.29511200457957404,-0.62622128220349,survives
pooled,360,metric_batch_acc,0.49619579884019016,0.13791648607488324,-0.3582793127653069,weak-or-mixed
pooled,360,metric_batch_loss,-0.727071100328025,-0.20914088829316432,0.5179302120348607,survives
pooled,360,feature_erank,-0.6272449272849645,-0.1964089239872198,0.43083600329774474,weak-or-mixed
pooled,360,feature_erank_norm,-0.21028901520852034,-0.1394279495510493,0.07086106565747102,weak-or-mixed
pooled,360,feature_norm_mean,-0.6352818761071634,-0.08438777098445377,0.5508941051227096,washout
pooled,360,feature_cosine_mean,0.8999214425395848,0.18745071352327142,-0.7124707290163135,weak-or-mixed
pooled,360,train_loss,-0.7792287042079229,-0.20991571557692892,0.569312988630994,survives
pooled,360,train_acc,0.740943238386871,0.20032116452766205,-0.540622073859209,survives
pooled,360,random_metric,-0.021734639096484577,-0.051382195310667206,-0.02964755621418263,weak-or-mixed
suite=image,160,fim_norm,-0.6723529364386978,-0.436658639193187,0.23569429724551078,survives
suite=image,160,fim_erank,-0.6723529364386978,-0.436658639193187,0.23569429724551078,survives
suite=image,160,fisher_trace,-0.4295904787097533,-0.3210648849503545,0.1085255937593988,survives
suite=image,160,fisher_spectral,-0.3235211609080548,-0.23130801518806576,0.09221314571998901,survives
suite=image,160,fisher_stable_rank,-0.6067369478882306,-0.39574495182289815,0.21099199606533248,survives
suite=image,160,fisher_entropy,-0.6723529364386978,-0.436658639193187,0.23569429724551078,survives
suite=image,160,fisher_condition,0.6799719031392466,0.3138379636560907,-0.3661339394831559,survives
suite=image,160,grad_noise_scale,-0.012604035664587876,0.038193681888627165,0.05079771755321504,weak-or-mixed
suite=image,160,grad_norm,-0.4228021126858458,-0.3073599115388558,0.11544220114699,survives
suite=image,160,grad_l1,-0.2748878066508892,-0.3417383400534661,-0.0668505334025769,survives
suite=image,160,grad_linf,-0.37132391448857915,-0.35195294098772084,0.019370973500858313,survives
suite=image,160,grad_mean_abs,-0.4233045748235671,-0.3446741169612851,0.07863045786228201,survives
suite=image,160,per_sample_grad_norm_mean,-0.5510178520562612,-0.42982348672978526,0.12119436532647593,survives
suite=image,160,per_sample_grad_norm_std,-0.29651711703996864,-0.25148046330642215,0.04503665373354648,survives
suite=image,160,sam_sharpness,-0.092587804526338,-0.2241380371233209,-0.1315502325969829,hidden-after-control
suite=image,160,asam_sharpness,-0.14003751619668506,-0.09555689436158317,0.04448062183510189,weak-or-mixed
suite=image,120,hessian_trace_hutchinson,-0.5878136947521193,-0.4336367606516031,0.1541769341005162,survives
suite=image,120,hessian_top_eig_power,-0.5010886210483056,-0.5254367422002955,-0.02434812115198981,survives
suite=image,160,weight_l2,0.1586256854839881,0.23706326121269092,0.07843757572870283,hidden-after-control
suite=image,160,weight_l1,0.1562510757893929,0.24155753631893384,0.08530646052954094,hidden-after-control
suite=image,160,weight_linf,0.5214223926732221,0.16998379583089993,-0.35143859684232215,weak-or-mixed
suite=image,160,weight_rms,-0.1151019170471482,0.20598253962501395,0.3210844566721621,hidden-after-control
suite=image,160,distance_from_init_l2,0.4330330035600301,0.2964241465823644,-0.13660885697766573,survives
suite=image,160,relative_distance_from_init,0.4133798489254286,0.2830188209721856,-0.130361027953243,survives
suite=image,160,update_to_weight_ratio,0.39907798930276817,0.15669323808705185,-0.24238475121571632,weak-or-mixed
suite=image,160,confidence_mean,0.7082548083666057,0.5178838833384423,-0.19037092502816344,survives
suite=image,160,entropy_mean,-0.7128883003246591,-0.544099977701501,0.16878832262315813,survives
suite=image,160,margin_mean,0.7132574561809442,0.5049077188421461,-0.20834973733879802,survives
suite=image,160,brier,-0.7234839523425536,-0.48932130907913,0.23416264326342356,survives
suite=image,160,ece,-0.6999766347798337,-0.49986142441115217,0.20011521036868157,survives
suite=image,160,logit_norm_mean,0.7606573611087766,0.3967609630952319,-0.3638963980135447,survives
suite=image,160,metric_batch_acc,0.7073003132566898,0.4033647256341441,-0.30393558762254574,survives
suite=image,160,metric_batch_loss,-0.72353522398926,-0.5017380973016329,0.22179712668762708,survives
suite=image,160,feature_erank,-0.4088474353565961,0.25353271089692947,0.6623801462535256,sign-inversion
suite=image,160,feature_erank_norm,-0.4088474353565961,0.25353271089692947,0.6623801462535256,sign-inversion
suite=image,160,feature_norm_mean,0.5668358875172351,0.3548269432330829,-0.21200894428415223,survives
suite=image,160,feature_cosine_mean,0.41653378764995885,-0.03353712139119429,-0.45007090904115316,washout
suite=image,160,train_loss,-0.7918744694319247,-0.6031263612674103,0.18874810816451448,survives
suite=image,160,train_acc,0.7927756703123645,0.556412482430181,-0.23636318788218347,survives
suite=image,160,random_metric,-0.04830082100567079,-0.042562302128403035,0.0057385188772677564,weak-or-mixed
suite=text,200,fim_norm,-0.29110454715116646,0.18773927504062862,0.4788438221917951,weak-or-mixed
suite=text,200,fim_erank,-0.29110454715116646,0.18773927504062862,0.4788438221917951,weak-or-mixed
suite=text,200,fisher_trace,-0.818319559546699,-0.2947902284868073,0.5235293310598916,survives
suite=text,200,fisher_spectral,-0.8085040632724909,-0.327293258271595,0.4812108050008959,survives
suite=text,200,fisher_stable_rank,-0.07750536680528222,0.17529636777361723,0.25280173457889943,weak-or-mixed
suite=text,200,fisher_entropy,-0.29110454715116646,0.18773927504062862,0.4788438221917951,weak-or-mixed
suite=text,200,fisher_condition,0.6367373789306462,0.030478530112126364,-0.6062588488185199,washout
suite=text,200,grad_noise_scale,-0.12920061387989804,0.1266915759759023,0.2558921898558003,weak-or-mixed
suite=text,200,grad_norm,-0.817989526048254,-0.32508425712897565,0.4929052689192784,survives
suite=text,200,grad_l1,-0.8221727006410446,-0.3269034562437216,0.49526924439732306,survives
suite=text,200,grad_linf,-0.13111255794248067,-0.03378610691533877,0.0973264510271419,weak-or-mixed
suite=text,200,grad_mean_abs,-0.8221727006410446,-0.3269034562437216,0.49526924439732306,survives
suite=text,200,per_sample_grad_norm_mean,-0.7966903641804248,-0.21883795574313106,0.5778524084372938,survives
suite=text,200,per_sample_grad_norm_std,-0.724346271245143,-0.3361178654126881,0.3882284058324548,survives
suite=text,200,sam_sharpness,-0.8167428995154913,-0.3265484507497555,0.49019444876573576,survives
suite=text,200,asam_sharpness,-0.8130337730386489,-0.2647565722156339,0.548277200823015,survives
suite=text,200,weight_l2,0.7079871107881295,0.13139459802008657,-0.5765925127680429,weak-or-mixed
suite=text,200,weight_l1,0.7129833679089074,0.11333078062923395,-0.5996525872796734,weak-or-mixed
suite=text,200,weight_linf,0.18091461285783458,0.03774065409087198,-0.1431739587669626,weak-or-mixed
suite=text,200,weight_rms,0.7077410858165614,0.12823042084361425,-0.5795106649729471,weak-or-mixed
suite=text,200,distance_from_init_l2,0.7515882863133811,0.2537802970524723,-0.49780798926090886,survives
suite=text,200,relative_distance_from_init,0.7532339533488093,0.26074889135735374,-0.49248506199145553,survives
suite=text,200,update_to_weight_ratio,0.7516242899677569,0.23472095844534768,-0.5169033315224092,survives
suite=text,200,confidence_mean,0.3078529971211185,-0.04940611051999484,-0.35725910764111335,washout
suite=text,200,entropy_mean,-0.369489003184125,0.005056506958174787,0.37454551014229975,washout
suite=text,200,margin_mean,0.30817270407566105,-0.08098492791185774,-0.3891576319875188,washout
suite=text,200,brier,-0.24019237955922476,0.196164507736588,0.4363568872958128,weak-or-mixed
suite=text,200,ece,-0.2676534168582491,0.15030124658412708,0.4179546634423762,weak-or-mixed
suite=text,200,logit_norm_mean,0.7521860969912463,0.05431286625191882,-0.6978732307393275,washout
suite=text,200,metric_batch_acc,0.20723108294050532,-0.2647264949778774,-0.4719575779183828,reverse-inversion
suite=text,200,metric_batch_loss,-0.2666828183423676,0.10002375350240812,0.36670657184477573,weak-or-mixed
suite=text,200,feature_erank,-0.7344850503326007,-0.31245254651735715,0.42203250381524354,survives
suite=text,200,feature_erank_norm,-0.7344850503326007,-0.31245254651735715,0.42203250381524354,survives
