group,n,metric,raw_spearman,mbe_partial,delta_partial_minus_raw,classification
pooled,320,fim_norm,-0.6513081868860555,-0.19863925114860914,0.4526689357374464,weak-or-mixed
pooled,320,fim_erank,-0.6513081868860555,-0.19863925114860914,0.4526689357374464,weak-or-mixed
pooled,320,fisher_trace,-0.49400147695126223,-0.20980087223982694,0.28420060471143527,survives
pooled,320,fisher_spectral,-0.4056495377191105,-0.17452333934078684,0.23112619837832366,weak-or-mixed
pooled,320,fisher_stable_rank,-0.5745713306906574,-0.1680195591531967,0.4065517715374607,weak-or-mixed
pooled,320,fisher_entropy,-0.6513081868860555,-0.19863925114860914,0.4526689357374464,weak-or-mixed
pooled,320,fisher_condition,0.6456173766500701,0.12482195078003966,-0.5207954258700305,weak-or-mixed
pooled,320,grad_noise_scale,0.07846685957741141,0.15834780727395936,0.07988094769654795,weak-or-mixed
pooled,320,grad_norm,-0.5009399843766039,-0.24300947206916934,0.2579305123074346,survives
pooled,320,grad_l1,-0.36748435938369284,-0.2614650982788218,0.10601926110487103,survives
pooled,320,grad_linf,-0.44494192824966716,-0.27940677406766345,0.1655351541820037,survives
pooled,320,grad_mean_abs,-0.46875291256277485,-0.24314753605341435,0.2256053765093605,survives
pooled,320,per_sample_grad_norm_mean,-0.5767461031470684,-0.2524761838889359,0.32426991925813253,survives
pooled,320,per_sample_grad_norm_std,-0.376211098501323,-0.15398177796545795,0.22222932053586505,weak-or-mixed
pooled,320,sam_sharpness,-0.12676705984280734,-0.17236373505696068,-0.04559667521415334,weak-or-mixed
pooled,320,asam_sharpness,-0.1714587528421855,-0.2708977981526404,-0.09943904531045492,hidden-after-control
pooled,320,weight_l2,0.11372173145806969,0.10563659014262311,-0.008085141315446576,weak-or-mixed
pooled,320,weight_l1,0.12041156795179349,0.13316581449849887,0.012754246546705386,weak-or-mixed
pooled,320,weight_linf,0.5058090063845543,0.13272246148150213,-0.37308654490305215,weak-or-mixed
pooled,320,weight_rms,-0.13507722850170767,0.13727906706737014,0.2723562955690778,weak-or-mixed
pooled,320,distance_from_init_l2,0.4389925696674283,0.14948585524946015,-0.28950671441796816,weak-or-mixed
pooled,320,relative_distance_from_init,0.41697805690183665,0.09313335055765418,-0.3238447063441825,washout
pooled,320,update_to_weight_ratio,0.4066696317962904,0.02674830960030695,-0.37992132219598346,washout
pooled,320,confidence_mean,0.7239571593490822,0.3086670034230558,-0.4152901559260264,survives
pooled,320,entropy_mean,-0.7214872169676282,-0.3019271899365167,0.4195600270311115,survives
pooled,320,margin_mean,0.7296803796822963,0.3115331804766977,-0.41814719920559856,survives
pooled,320,brier,-0.7308105216037384,-0.4294255943092346,0.3013849272945038,survives
pooled,320,ece,-0.6870004931137161,-0.3459605261792434,0.34103996693447275,survives
pooled,320,logit_norm_mean,0.7184697819832719,0.3779198993572528,-0.34054988262601915,survives
pooled,320,metric_batch_acc,0.694634621555169,0.3438902605640812,-0.3507443609910878,survives
