suite,task,arch,run_id,seed,lr,wd,dropout,optimizer,epochs,batch_size,n_train,n_test,metric_n,device,val_loss_ep12,val_acc_ep12,val_loss_ep25,val_acc_ep25,train_loss,train_acc,val_loss,final_acc,confidence_mean,entropy_mean,margin_mean,brier,ece,logit_norm_mean,metric_batch_acc,metric_batch_loss,feature_erank,feature_erank_norm,feature_norm_mean,feature_cosine_mean,weight_l2,weight_l1,weight_linf,weight_rms,distance_from_init_l2,relative_distance_from_init,update_to_weight_ratio,grad_norm,grad_l1,grad_linf,grad_mean_abs,fisher_trace,fisher_spectral,fisher_stable_rank,fisher_entropy,fim_erank,fim_norm,fisher_condition,grad_noise_scale,per_sample_grad_norm_mean,per_sample_grad_norm_std,sam_sharpness,asam_sharpness,hessian_trace_hutchinson,hessian_top_eig_power,random_metric,elapsed_s,hessian_error
image,cifar10,cnn,0,8011093,7.433022914112735e-05,0.0008795346840271043,0.0,adamw,25,128,20000,5000,16,cuda,1.1766182794570923,0.587,0.9960475873947143,0.6464,0.8773302808403969,0.7060546875,0.9960475873947143,0.6464,0.6512718200683594,0.972465991973877,0.4700573682785034,0.36780625581741333,0.17601042985916138,9.797701835632324,0.75,0.83208829164505,6.362109781127367,0.3976318613204604,10.011530876159668,0.599435031414032,26.213472366333008,6711.26708984375,1.1579102277755737,0.042873263359069824,7.47885274887085,0.30545344948768616,0.2853056788444519,32.31388854980469,9220.6044921875,1.8781969547271729,0.024664970114827156,21769.220703125,8385.6845703125,2.595998039348354,1.808416485786438,6.100778560064891,0.3812986600040557,1782.8931884765625,19.847993850708008,116.7396240234375,90.2279052734375,4.942244529724121,2.6175129413604736,23369.7421875,4920.6513671875,0.7047494649887085,70.25183916091919,
image,cifar10,cnn,1,2588196,0.002677397767234046,0.0003781515747397175,0.2,adamw,25,128,20000,5000,16,cuda,0.920876839542389,0.6868,0.7774626688241959,0.744,0.41441715881228447,0.8623046875,0.7774626688241959,0.744,0.7433305978775024,0.6793543696403503,0.5999453663825989,0.2475229799747467,0.1744765341281891,21.165786743164062,0.875,0.5929567217826843,8.911650151772417,0.556978134485776,8.853303909301758,0.7180541157722473,104.55553436279297,48767.9296875,2.0402369499206543,0.1710050106048584,100.4271469116211,4.097491264343262,0.9605149030685425,6.630299091339111,880.1867065429688,0.5977360010147095,0.00235448544844985,413.57000732421875,178.35205078125,2.3188407731372984,1.5924406051635742,4.915731845279972,0.30723324032999827,4732034.5,8.40769100189209,13.601855278015137,15.118188858032227,0.4169357419013977,2.195427656173706,479.5386505126953,278.5328674316406,-0.03761511296033859,70.45227384567261,
image,cifar10,cnn,2,1447840,0.00021241742837694197,0.00141572916859961,0.1,adamw,25,128,20000,5000,16,cuda,1.1019249937057496,0.611,1.0029067516326904,0.6466,0.8516326695680618,0.6943359375,1.0029067516326904,0.6466,0.6989009976387024,0.8355728983879089,0.5288006067276001,0.4871486723423004,0.23993180692195892,10.96186351776123,0.6875,1.0856338739395142,7.370422712037018,0.46065141950231364,9.585785865783691,0.7209206819534302,28.687698364257812,7873.759765625,1.2868725061416626,0.046919938176870346,13.155767440795898,0.5370302200317383,0.4585856795310974,25.525354385375977,7157.8896484375,2.858888626098633,0.01914723962545395,5275.60498046875,1838.3720703125,2.869715584599782,1.8894853591918945,6.615963106407316,0.41349769415045723,67643.9921875,7.097084999084473,58.804649353027344,42.6335334777832,2.1092100143432617,2.034872055053711,3785.0062255859375,1489.925048828125,-0.3480278253555298,68.8840274810791,
image,cifar10,cnn,3,1576434,0.00015552310103499005,5.721500444786903e-06,0.05,adamw,25,128,20000,5000,16,cuda,1.123552592086792,0.5976,1.0567927577972411,0.6294,0.9160290434956551,0.6865234375,1.0567927577972411,0.6294,0.7012689709663391,0.8807588815689087,0.5534325242042542,0.30009201169013977,0.29918479919433594,11.860910415649414,0.875,0.5919837355613708,7.1870332059117334,0.44918957536948334,10.155839920043945,0.7093100547790527,27.70484733581543,7291.60498046875,1.2469136714935303,0.045312490314245224,10.9263916015625,0.44620880484580994,0.39438554644584656,22.138473510742188,6110.302734375,1.829528570175171,0.016344962641596794,8741.7822265625,4896.7353515625,1.785226604858905,1.473554253578186,4.364721421937765,0.2727950888711103,31706.685546875,16.836286544799805,66.90192413330078,65.31394958496094,2.0295114517211914,1.7592129707336426,12822.961181640625,2417.57861328125,-1.196824550628662,69.30241250991821,
image,cifar10,cnn,4,3978697,0.00016500490654937055,2.260266436846252e-06,0.0,adamw,25,128,20000,5000,16,cuda,1.1239408869743348,0.597,0.9619136202812195,0.6628,0.7054489254951477,0.7626953125,0.9619136202812195,0.6628,0.7133864164352417,0.7932109832763672,0.5335728526115417,0.23594126105308533,0.22487741708755493,12.346517562866211,0.875,0.47417783737182617,6.206507719932812,0.38790673249580077,10.063042640686035,0.6561409831047058,27.97540283203125,7401.40625,1.2664134502410889,0.04575496166944504,10.863832473754883,0.4431532323360443,0.3883351683616638,32.17143249511719,8693.47265625,2.2703704833984375,0.02325489930808544,11471.41015625,4394.109375,2.6106337319493775,1.8380820751190186,6.284473455243675,0.3927795909527297,37577.09375,10.083480834960938,88.85922241210938,59.79508590698242,4.597074508666992,2.592792510986328,28385.666015625,4606.6796875,-0.7992645502090454,68.42696714401245,
image,cifar10,cnn,5,3905030,0.002586920582698863,0.00035343812306787097,0.2,adamw,25,128,20000,5000,16,cuda,0.9209790103912353,0.6748,0.718497349357605,0.7576,0.3680379390716553,0.88671875,0.718497349357605,0.7576,0.7733691334724426,0.7060083150863647,0.6670621633529663,0.11862741410732269,0.22663086652755737,18.20833969116211,1.0,0.2947429418563843,10.406687434878023,0.6504179646798764,8.086932182312012,0.7259605526924133,102.16327667236328,47593.65625,1.971926212310791,0.1670924723148346,97.94434356689453,3.9979758262634277,0.9587039947509766,2.954716682434082,404.45977783203125,0.33221670985221863,0.0010819233721122146,160.7584228515625,64.17552947998047,2.5049800781419114,1.7440465688705444,5.720445413367883,0.3575278383354927,158672.96875,17.41373634338379,9.184654235839844,8.740741729736328,0.2267337441444397,0.9981491565704346,335.9787292480469,119.58219146728516,-1.023638367652893,68.70075488090515,
image,cifar10,cnn,6,774962,0.0013410995409221227,1.8114392479863145e-06,0.1,adamw,25,128,20000,5000,16,cuda,1.0212728682518006,0.637,0.8988012680530548,0.7086,0.5470092408359051,0.8037109375,0.8988012680530548,0.7086,0.8924028873443604,0.3644229769706726,0.8177093267440796,0.12514927983283997,0.07008244097232819,20.00357437133789,0.9375,0.2298196256160736,9.403678613080288,0.587729913317518,9.847189903259277,0.7379938960075378,59.660484313964844,25566.40625,1.763410210609436,0.09757721424102783,52.373313903808594,2.13592791557312,0.8778560161590576,5.998624801635742,948.5728149414062,0.6544433236122131,0.0025374169927090406,565.5331420898438,436.9237060546875,1.2943521586330624,0.8455830216407776,2.3293355488688707,0.14558347180430442,3230502.5,14.716461181640625,12.22102165222168,20.40048599243164,0.38835421204566956,0.9935637712478638,1038.2269897460938,363.9526672363281,-2.067619800567627,70.28760361671448,
image,cifar10,cnn,7,1955699,4.551355338540921e-05,0.00013181709249494424,0.1,adamw,25,128,20000,5000,16,cuda,1.3195273948669433,0.5348,1.1853826299667358,0.5754,1.1283893808722496,0.58203125,1.1853826299667358,0.5754,0.5959316492080688,1.080373764038086,0.3958005905151367,0.6033262014389038,0.24397258460521698,7.528600215911865,0.5625,1.4772777557373047,5.541210538756476,0.34632565867227977,9.331071853637695,0.6314589381217957,25.559057235717773,6552.4423828125,1.1024885177612305,0.04180295020341873,6.506982803344727,0.2655673921108246,0.25458618998527527,28.591154098510742,7683.0439453125,1.5765470266342163,0.0205520186573267,11081.0703125,5232.359375,2.1177961065604363,1.5727415084838867,4.81984337649191,0.3012402110307444,6107.00244140625,12.555594444274902,79.04689025878906,69.51734924316406,2.1505415439605713,1.8126754760742188,6310.614990234375,1526.400390625,-0.01890961080789566,70.01364588737488,
image,cifar10,cnn,8,7268438,0.0011060285790465674,0.00221939981629439,0.1,sgd,25,128,20000,5000,16,cuda,1.3690324041366577,0.5106,1.2342148374557496,0.5504,1.1476175636053085,0.5791015625,1.2342148374557496,0.5504,0.5511318445205688,1.269635796546936,0.3330158591270447,0.5915844440460205,0.3217358887195587,6.241766452789307,0.5,1.23530912399292,5.611479689105768,0.3507174805691105,7.024372100830078,0.6413103342056274,22.928451538085938,6027.9501953125,0.9729503393173218,0.03750046342611313,4.9386677742004395,0.20151552557945251,0.2153947353363037,17.9940185546875,5908.50439453125,1.1062325239181519,0.015805155038833618,5330.56494140625,2247.217041015625,2.3720739225958836,1.8545187711715698,6.388622590127069,0.3992889118829418,755.9652099609375,15.463305473327637,62.03182601928711,38.50477600097656,1.2486698627471924,1.0724592208862305,6527.9814453125,1027.96337890625,-0.40107566118240356,69.60698175430298,
image,cifar10,cnn,9,1649993,0.025369501911127686,8.726786158453418e-05,0.2,sgd,25,128,20000,5000,16,cuda,0.9091925107955933,0.6732,0.9491600811004639,0.6792,0.6272211000323296,0.779296875,0.9491600811004639,0.6792,0.8482530117034912,0.44781649112701416,0.7705066800117493,0.22484683990478516,0.1320521980524063,11.87692928314209,0.8125,0.4974552392959595,8.949358223155262,0.5593348889472038,7.913037300109863,0.7665784955024719,35.05203628540039,10290.322265625,1.5011094808578491,0.05732915177941322,24.707427978515625,1.0085021257400513,0.7048785090446472,6.749724388122559,2730.02001953125,0.273689866065979,0.0073027596808969975,619.209716796875,246.7191925048828,2.5097752246599856,1.347460389137268,3.847641305890051,0.24047758161812818,57318964.0,12.591444969177246,13.801351547241211,20.705854415893555,0.4518711566925049,1.2424837350845337,127.80956268310547,79.93368530273438,-0.10821731388568878,68.99681615829468,
